txn_id,date,amount,reference_id,description
TXN1001,2026-08-02,3156.89,REF1001,Payout Razorpay STL1001 REF1001
TXN1002,2026-08-05,1413.48,REF1002,Payout Razorpay STL1002 REF1002
TXN1003,2026-08-12,3621.18,REF1003,Payout Razorpay STL1003 REF1003
TXN1004,2026-08-03,4366.15,REF1004,Payout Razorpay STL1004 REF1004
TXN1005,2026-08-02,2116.27,REF1005,Payout Razorpay STL1005 REF1005
TXN1006,2026-08-10,1143.69,REF1006,Payout Razorpay STL1006 REF1006
TXN1007,2026-08-05,224.6,REF1007,Payout Razorpay STL1007 REF1007
TXN1008,2026-08-10,3206.92,REF1008,Payout Razorpay STL1008 REF1008
TXN1009,2026-08-11,1152.31,REF1009,Payout Razorpay STL1009 REF1009
TXN1010,2026-08-02,3970.25,REF1010,Payout Razorpay STL1010 REF1010
TXN1011,2026-08-08,3952.97,REF1011,Payout Razorpay STL1011 REF1011
TXN1012,2026-08-05,1427.08,REF1012,Payout Razorpay STL1012 REF1012
TXN1013,2026-08-03,1708.03,REF1013,Payout Razorpay STL1013 REF1013
TXN1014,2026-08-07,560.37,REF1014,Payout Razorpay STL1014 REF1014
TXN1015,2026-08-02,1363.2,REF1015,Payout Razorpay STL1015 REF1015
TXN1016,2026-08-03,2295.69,REF1016,Payout Razorpay STL1016 REF1016
TXN1017,2026-08-06,474.65,REF1017,Payout Razorpay STL1017 REF1017
TXN1018,2026-08-07,3105.28,REF1018,Payout Razorpay STL1018 REF1018
TXN1019,2026-08-03,1017.61,REF1019,Payout Razorpay STL1019 REF1019
TXN1020,2026-08-06,3261.36,REF1020,Payout Razorpay STL1020 REF1020
TXN1021,2026-08-03,4189.79,REF1021,Payout Razorpay STL1021 REF1021
TXN1022,2026-08-12,1427.57,REF1022,Payout Razorpay STL1022 REF1022
TXN1023,2026-08-07,1843.13,REF1023,Payout Razorpay STL1023 REF1023
TXN1024,2026-08-06,1099.99,REF1024,Payout Razorpay STL1024 REF1024
TXN1025,2026-08-12,4578.94,REF1025,Payout Razorpay STL1025 REF1025
TXN1026,2026-08-04,3011.94,REF1026,Payout Razorpay STL1026 REF1026
TXN1027,2026-08-04,3586.04,REF1027,Payout Razorpay STL1027 REF1027
TXN1028,2026-08-12,1913.09,REF1028,Payout Razorpay STL1028 REF1028
TXN1029,2026-08-12,2762.28,REF1029,Payout Razorpay STL1029 REF1029
TXN1030,2026-08-02,4130.14,REF1030,Payout Razorpay STL1030 REF1030
TXN1031,2026-08-07,4029.44,REF1031,Payout Razorpay STL1031 REF1031
TXN1032,2026-08-05,1378.61,REF1032,Payout Razorpay STL1032 REF1032
TXN1033,2026-08-07,4290.5,REF1033,Payout Razorpay STL1033 REF1033
TXN1034,2026-08-08,3233.5,REF1034,Payout Razorpay STL1034 REF1034
TXN1035,2026-08-06,2292.95,REF1035,Payout Razorpay STL1035 REF1035
TXN_BUNDLE_1,2026-08-14,1416.17,REF_BUNDLE_1,Bulk Settlement STL_BUNDLE_1 REF_BUNDLE_1
TXN_BUNDLE_2,2026-08-15,2800.98,REF_BUNDLE_2,Bulk Settlement STL_BUNDLE_2 REF_BUNDLE_2
TXN_BUNDLE_3,2026-08-16,1175.92,REF_BUNDLE_3,Bulk Settlement STL_BUNDLE_3 REF_BUNDLE_3
TXN_FEE_1,2026-08-17,2959.24,REF_FEE_1,Payout Promo Rate REF_FEE_1
TXN_FEE_2,2026-08-18,1898.29,REF_FEE_2,Payout Promo Rate REF_FEE_2
TXN_DRIFT_1,2026-08-11,621.34,REF_DRIFT_1,Delayed Payout REF_DRIFT_1
TXN_DRIFT_2,2026-08-11,557.2,REF_DRIFT_2,Delayed Payout REF_DRIFT_2
TXN_DUP_1,2026-08-20,1136.99,REF_DUP_999,Payout Dup Ref REF_DUP_999
TXN_DUP_2,2026-08-20,1895.36,REF_DUP_999,Payout Dup Ref REF_DUP_999
TXN_TYPO_1,2026-08-22,1473.3,REF_TIPO_888,Payout Typo REF_TIPO_888
TXN_TYPO_2,2026-08-22,967.63,REF_TYP0_777,Payout Typo REF_TYP0_777
TXN_PARTIAL_1,2026-08-24,1464.6,REF_PARTIAL_1,Payout Partial Refund REF_PARTIAL_1
TXN_PARTIAL_2,2026-08-24,1464.6,REF_PARTIAL_2,Payout Partial Refund REF_PARTIAL_2
TXN_ROUND_1,2026-08-26,348.77,REF_ROUND_1,Payout Rounding REF_ROUND_1
TXN_ROUND_2,2026-08-26,628.3,REF_ROUND_2,Payout Rounding REF_ROUND_2
TXN_UNRESOLVED_1,2026-08-27,2919.73,REF_UNRESOLVED_1,Orphaned Payout REF_UNRESOLVED_1
TXN_UNRESOLVED_2,2026-08-27,1779.77,REF_UNRESOLVED_2,Orphaned Payout REF_UNRESOLVED_2
TXN_UNRESOLVED_3,2026-08-27,2858.61,REF_UNRESOLVED_3,Orphaned Payout REF_UNRESOLVED_3
