order_id,date,amount,customer_ref,status
ORD1001,2026-08-01,3233.19,CUST_859,SETTLED
ORD1002,2026-08-04,1447.64,CUST_242,SETTLED
ORD1003,2026-08-11,3708.71,CUST_858,SETTLED
ORD1004,2026-08-02,4471.68,CUST_704,SETTLED
ORD1005,2026-08-01,2167.42,CUST_195,SETTLED
ORD1006,2026-08-09,1171.33,CUST_716,SETTLED
ORD1007,2026-08-04,230.03,CUST_833,SETTLED
ORD1008,2026-08-09,3284.43,CUST_529,SETTLED
ORD1009,2026-08-10,1180.16,CUST_384,SETTLED
ORD1010,2026-08-01,4066.21,CUST_877,SETTLED
ORD1011,2026-08-07,4048.51,CUST_448,SETTLED
ORD1012,2026-08-04,1461.57,CUST_881,SETTLED
ORD1013,2026-08-02,1749.31,CUST_489,SETTLED
ORD1014,2026-08-06,573.91,CUST_718,SETTLED
ORD1015,2026-08-01,1396.15,CUST_847,SETTLED
ORD1016,2026-08-02,2351.18,CUST_487,SETTLED
ORD1017,2026-08-05,486.12,CUST_949,SETTLED
ORD1018,2026-08-06,3180.34,CUST_691,SETTLED
ORD1019,2026-08-02,1042.21,CUST_146,SETTLED
ORD1020,2026-08-05,3340.19,CUST_181,SETTLED
ORD1021,2026-08-02,4291.06,CUST_489,SETTLED
ORD1022,2026-08-11,1462.07,CUST_954,SETTLED
ORD1023,2026-08-06,1887.68,CUST_463,SETTLED
ORD1024,2026-08-05,1126.58,CUST_818,SETTLED
ORD1025,2026-08-11,4689.61,CUST_173,SETTLED
ORD1026,2026-08-03,3084.74,CUST_646,SETTLED
ORD1027,2026-08-03,3672.72,CUST_573,SETTLED
ORD1028,2026-08-11,1959.33,CUST_804,SETTLED
ORD1029,2026-08-11,2829.05,CUST_432,SETTLED
ORD1030,2026-08-01,4229.97,CUST_334,SETTLED
ORD1031,2026-08-06,4126.83,CUST_510,SETTLED
ORD1032,2026-08-04,1411.93,CUST_680,SETTLED
ORD1033,2026-08-06,4394.2,CUST_317,SETTLED
ORD1034,2026-08-07,3311.65,CUST_758,SETTLED
ORD1035,2026-08-05,2348.37,CUST_242,SETTLED
ORD1036,2026-08-13,520.62,CUST_CORP_1,SETTLED
ORD1037,2026-08-13,929.78,CUST_CORP_1,SETTLED
ORD1038,2026-08-14,541.56,CUST_CORP_2,SETTLED
ORD1039,2026-08-14,959.96,CUST_CORP_2,SETTLED
ORD1040,2026-08-14,1367.17,CUST_CORP_2,SETTLED
ORD1041,2026-08-15,719.22,CUST_CORP_3,SETTLED
ORD1042,2026-08-15,485.12,CUST_CORP_3,SETTLED
ORD1043,2026-08-16,2994.58,CUST_FEE_0,SETTLED
ORD1044,2026-08-17,1920.96,CUST_FEE_1,SETTLED
ORD1045,2026-08-06,636.36,CUST_DRIFT,SETTLED
ORD1046,2026-08-06,570.67,CUST_DRIFT,SETTLED
ORD1047,2026-08-19,1164.47,CUST_DUP_0,SETTLED
ORD1048,2026-08-19,1941.17,CUST_DUP_1,SETTLED
ORD1049,2026-08-21,1508.91,CUST_TYPO,SETTLED
ORD1050,2026-08-21,991.02,CUST_TYPO,SETTLED
ORD1051,2026-08-23,2000.0,CUST_PARTIAL,PARTIALLY_REFUNDED
ORD1052,2026-08-23,2000.0,CUST_PARTIAL,PARTIALLY_REFUNDED
ORD1053,2026-08-25,357.17,CUST_ROUND,SETTLED
ORD1054,2026-08-25,643.46,CUST_ROUND,SETTLED
