settlement_id,date,gross_amount,fee,net_amount,reference_id,order_id
STL1001,2026-08-02,3233.19,76.3,3156.89,REF1001,ORD1001
STL1002,2026-08-05,1447.64,34.16,1413.48,REF1002,ORD1002
STL1003,2026-08-12,3708.71,87.53,3621.18,REF1003,ORD1003
STL1004,2026-08-03,4471.68,105.53,4366.15,REF1004,ORD1004
STL1005,2026-08-02,2167.42,51.15,2116.27,REF1005,ORD1005
STL1006,2026-08-10,1171.33,27.64,1143.69,REF1006,ORD1006
STL1007,2026-08-05,230.03,5.43,224.6,REF1007,ORD1007
STL1008,2026-08-10,3284.43,77.51,3206.92,REF1008,ORD1008
STL1009,2026-08-11,1180.16,27.85,1152.31,REF1009,ORD1009
STL1010,2026-08-02,4066.21,95.96,3970.25,REF1010,ORD1010
STL1011,2026-08-08,4048.51,95.54,3952.97,REF1011,ORD1011
STL1012,2026-08-05,1461.57,34.49,1427.08,REF1012,ORD1012
STL1013,2026-08-03,1749.31,41.28,1708.03,REF1013,ORD1013
STL1014,2026-08-07,573.91,13.54,560.37,REF1014,ORD1014
STL1015,2026-08-02,1396.15,32.95,1363.2,REF1015,ORD1015
STL1016,2026-08-03,2351.18,55.49,2295.69,REF1016,ORD1016
STL1017,2026-08-06,486.12,11.47,474.65,REF1017,ORD1017
STL1018,2026-08-07,3180.34,75.06,3105.28,REF1018,ORD1018
STL1019,2026-08-03,1042.21,24.6,1017.61,REF1019,ORD1019
STL1020,2026-08-06,3340.19,78.83,3261.36,REF1020,ORD1020
STL1021,2026-08-03,4291.06,101.27,4189.79,REF1021,ORD1021
STL1022,2026-08-12,1462.07,34.5,1427.57,REF1022,ORD1022
STL1023,2026-08-07,1887.68,44.55,1843.13,REF1023,ORD1023
STL1024,2026-08-06,1126.58,26.59,1099.99,REF1024,ORD1024
STL1025,2026-08-12,4689.61,110.67,4578.94,REF1025,ORD1025
STL1026,2026-08-04,3084.74,72.8,3011.94,REF1026,ORD1026
STL1027,2026-08-04,3672.72,86.68,3586.04,REF1027,ORD1027
STL1028,2026-08-12,1959.33,46.24,1913.09,REF1028,ORD1028
STL1029,2026-08-12,2829.05,66.77,2762.28,REF1029,ORD1029
STL1030,2026-08-02,4229.97,99.83,4130.14,REF1030,ORD1030
STL1031,2026-08-07,4126.83,97.39,4029.44,REF1031,ORD1031
STL1032,2026-08-05,1411.93,33.32,1378.61,REF1032,ORD1032
STL1033,2026-08-07,4394.2,103.7,4290.5,REF1033,ORD1033
STL1034,2026-08-08,3311.65,78.15,3233.5,REF1034,ORD1034
STL1035,2026-08-06,2348.37,55.42,2292.95,REF1035,ORD1035
STL_BUNDLE_1,2026-08-14,1450.4,34.23,1416.17,REF_BUNDLE_1,"MULTI_ORD1036,ORD1037"
STL_BUNDLE_2,2026-08-15,2868.69,67.71,2800.98,REF_BUNDLE_2,"MULTI_ORD1038,ORD1039,ORD1040"
STL_BUNDLE_3,2026-08-16,1204.34,28.42,1175.92,REF_BUNDLE_3,"MULTI_ORD1041,ORD1042"
STL_FEE_1,2026-08-17,2994.58,35.34,2959.24,REF_FEE_1,ORD1043
STL_FEE_2,2026-08-18,1920.96,22.67,1898.29,REF_FEE_2,ORD1044
STL_DRIFT_1,2026-08-10,636.36,15.02,621.34,REF_DRIFT_1,ORD1045
STL_DRIFT_2,2026-08-10,570.67,13.47,557.2,REF_DRIFT_2,ORD1046
STL_DUP_1,2026-08-20,1164.47,27.48,1136.99,REF_DUP_999,ORD1047
STL_DUP_2,2026-08-20,1941.17,45.81,1895.36,REF_DUP_999,ORD1048
STL_TYPO_1,2026-08-22,1508.91,35.61,1473.3,REF_TIPO_888,ORD1049
STL_TYPO_2,2026-08-22,991.02,23.39,967.63,REF_TYP0_777,ORD1050
STL_PARTIAL_1,2026-08-24,1500.0,35.4,1464.6,REF_PARTIAL_1,ORD1051
STL_PARTIAL_2,2026-08-24,1500.0,35.4,1464.6,REF_PARTIAL_2,ORD1052
STL_ROUND_1,2026-08-26,357.17,8.43,348.74,REF_ROUND_1,ORD1053
STL_ROUND_2,2026-08-26,643.46,15.19,628.27,REF_ROUND_2,ORD1054
STL_UNRESOLVED_1,2026-08-27,2990.3,70.57,2919.73,REF_UNRESOLVED_1,ORD_GHOST_1
STL_UNRESOLVED_2,2026-08-27,1822.79,43.02,1779.77,REF_UNRESOLVED_2,ORD_GHOST_2
STL_UNRESOLVED_3,2026-08-27,2927.7,69.09,2858.61,REF_UNRESOLVED_3,ORD_GHOST_3
